 Key|US English
HUD_RIDE_LEAVE_IF_ANOTHER_BOAT|Leave if another boat arrives at station
HUD_RIDE_LEAVE_IF_ANOTHER_TRAIN|Остановка, пока другой вагончик отправляется 
HUD_RIDE_LEAVE_IF_ANOTHER_TRAIN|Leave if another train arrives at station
HUD_RIDE_MINIMUM_WAITING_TIME|Минимальное ожидание в очереди
HUD_RIDE_MINIMUM_WAITING_TIME|Minimum waiting time
HUD_RIDE_MAXIMIUM_WAITING_TIME|Максимальное ожидание в очереди
HUD_RIDE_MAXIMIUM_WAITING_TIME|Maximum waiting time
HUD_RIDE_SYNCHRONIZE_WITH_ADJACENT|Соединить с соседними станциями
HUD_RIDE_SYNCHRONIZE_WITH_ADJACENT|Synchronize with adjacent stations
HUD_RIDE_TIME_SINCE_LAST_INSPECTION|Последняя проверка
HUD_RIDE_TIME_SINCE_LAST_INSPECTION|Time since last inspection
HUD_RIDE_LAST_BREAKDOWN|Последняя поломка
HUD_RIDE_LAST_BREAKDOWN|Last breakdown
HUD_RIDE_CURRENT_BREAKDOWN|Текущая поломка
HUD_RIDE_CURRENT_BREAKDOWN|Current breakdown
HUD_RIDE_INSPECTION|Инспектор
HUD_RIDE_INSPECTION|Inspection
HUD_RIDE_MORE_THAN_4_HOURS|Больше 4 часов
HUD_RIDE_MORE_THAN_4_HOURS|More than 4 hours
HUD_RIDE_PLAY_MUSIC|Слушает музыки
HUD_RIDE_PLAY_MUSIC|Play music
HUD_RIDE_SAVE_WITH_SCENERY|Сохранить дизайн горок
HUD_RIDE_SAVE_WITH_SCENERY|Save Ride Design
HUD_RIDE_SELECT_NEARBY_SCENERY|Выбрать местность
HUD_RIDE_SELECT_NEARBY_SCENERY|Select Nearby Scenery
HUD_RIDE_RESET_SELECTION|Сбросить выбор
HUD_RIDE_RESET_SELECTION|Reset Selection
HUD_RIDE_SAVE_DESIGN|СОХРАНИТЬ ДИЗАЙН
HUD_RIDE_SAVE_DESIGN|SAVE DESIGN
HUD_RIDE_ASSESSED_VALUE|Стоимость
HUD_RIDE_ASSESSED_VALUE|Assessed Value
HUD_RIDE_CHOOSE_ITEMS_OF_SCENERY|
HUD_RIDE_CHOOSE_ITEMS_OF_SCENERY|Choose items of scenery to save with the ride design...
HUD_RIDE_NOT_YET_AVAILABLE|Не доступно
HUD_RIDE_NOT_YET_AVAILABLE|Not yet available
HUD_RIDE_NO_TEST_RESULTS_YET|Не тестировано
HUD_RIDE_NO_TEST_RESULTS_YET|No test results yet...
HUD_RIDE_HAS_BEEN_SAVED|сохранить
HUD_RIDE_HAS_BEEN_SAVED|has been saved
HUD_RIDE_SIX_FLAGS_RIDE_CANT_SAVE|Шесть Флагов: не имеется
HUD_RIDE_SIX_FLAGS_RIDE_CANT_SAVE|Six flags ride: Can't save
HUD_RIDE_SAVE_RIDE|Сохранить?
HUD_RIDE_SAVE_RIDE|Save ride?
HUD_RIDE_FILENAME_ALREADY_EXISTS|Имя файла верное?
HUD_RIDE_FILENAME_ALREADY_EXISTS|Filename already exists, overwrite?
HUD_RIDE_UNABLE_TO_SAVE_RIDE|Невозможно сохранить!
HUD_RIDE_UNABLE_TO_SAVE_RIDE|Unable to save ride!
HUD_RIDE_CANNOT_OVERWRITE_INTERNAL|
HUD_RIDE_CANNOT_OVERWRITE_INTERNAL|Cannot overwrite internal rides
HUD_RIDE_HAS_BEEN_SAVED|сохранить
HUD_RIDE_HAS_BEEN_SAVED|has been saved
HUD_RIDE_PROFIT_PER_ITEM_SOLD|Прибыль с человека
HUD_RIDE_PROFIT_PER_ITEM_SOLD|Profit per item sold
HUD_RIDE_INCOME|Доход
HUD_RIDE_INCOME|Income
HUD_RIDE_RUNNING_COST|Стоимость билета
HUD_RIDE_RUNNING_COST|Running cost
HUD_RIDE_TOTAL_PROFIT|Чистая прибыль
HUD_RIDE_TOTAL_PROFIT|Total profit
HUD_RIDE_SAME_PRICE_THROUGHOUT|Сохранить цену по всему парку
HUD_RIDE_SAME_PRICE_THROUGHOUT|Same price throughout park
HUD_RIDE_PER_HOUR|прибыль/час
HUD_RIDE_PER_HOUR|per hour
HUD_RIDE_UNKNOWN|Неизвестно
HUD_RIDE_UNKNOWN|Unknown
HUD_RIDE_CUSTOMERS|Посетители
HUD_RIDE_CUSTOMERS|Customers
HUD_RIDE_SOLD|доход
HUD_RIDE_SOLD|sold
HUD_RIDE_TOTAL_CUSTOMERS|Всего посетителей
HUD_RIDE_TOTAL_CUSTOMERS|Total customers
HUD_RIDE_FAVORITE_RIDE_OF|Любимый аттракцион у
HUD_RIDE_FAVORITE_RIDE_OF|Favorite ride of
HUD_RIDE_BUILT|Построено
HUD_RIDE_BUILT|Built
HUD_RIDE_THIS_YEAR|В этом году
HUD_RIDE_THIS_YEAR|This Year
HUD_RIDE_LAST_YEAR|В прошлом году
HUD_RIDE_LAST_YEAR|Last Year
HUD_RIDE_YEARS_AGO|лет назад
HUD_RIDE_YEARS_AGO|years ago
HUD_RIDE_LOGGING_DATA_FROM|
HUD_RIDE_LOGGING_DATA_FROM|Logging data from
HUD_RIDE_SELECT_SECTIONS_RIDE|
HUD_RIDE_SELECT_SECTIONS_RIDE|Select sections of this ride on the view to apply the currently-chosen colour scheme...
HUD_RIDE_CONSTRUCTION|
HUD_RIDE_CONSTRUCTION|Construction



HUD_PATH_FOOTPATH|Мосты
HUD_PATH_FOOTPATH|Footpath
HUD_PATH_QUEUE_LINE|Очереди
HUD_PATH_QUEUE_LINE|Queue Line
HUD_PATH_TAP_AGAIN|Нажмите, чтобы удалить
HUD_PATH_TAP_AGAIN|Tap again to place or remove
HUD_PATH_SELECT_START_POSITION|выберите начало\nlocation
HUD_PATH_SELECT_START_POSITION|select start\nlocation
HUD_PATH_CHANGE|СМЕНИТЬ
HUD_PATH_CHANGE|CHANGE



HUD_STAFF_STAFF_HANDYMEN|Зарплата - Уборщик
HUD_STAFF_STAFF_HANDYMEN|Staff - Handymen
HUD_STAFF_STAFF_MECHANICS|Зарплата - Механик
HUD_STAFF_STAFF_MECHANICS|Staff - Mechanics
HUD_STAFF_STAFF_SECURITY_GUARDS|Зарплата - охранник
HUD_STAFF_STAFF_SECURITY_GUARDS|Staff - Security Guards
HUD_STAFF_STAFF_ENTERTAINERS|Зарплата - Резвлекалочника
HUD_STAFF_STAFF_ENTERTAINERS|Staff - Entertainers
HUD_STAFF_HIRE|Нанять
HUD_STAFF_HIRE|Hire
HUD_STAFF_ARE_YOU_SURE_YOU_WANT_TO_SACK|Вы уверены, что хотите уволить
HUD_STAFF_ARE_YOU_SURE_YOU_WANT_TO_SACK|Are you sure you want to sack
HUD_STAFF_SWEEP_FOOTPATHS|
HUD_STAFF_SWEEP_FOOTPATHS|Sweep footpaths
HUD_STAFF_WATER_GARDENS|
HUD_STAFF_WATER_GARDENS|Water gardens
HUD_STAFF_EMPTY_LITTER_BINS|
HUD_STAFF_EMPTY_LITTER_BINS|Empty litter bins
HUD_STAFF_MOW_GRASS|
HUD_STAFF_MOW_GRASS|Mow grass
HUD_STAFF_INSPECT_RIDES|
HUD_STAFF_INSPECT_RIDES|Inspect rides
HUD_STAFF_FIX_RIDES|
HUD_STAFF_FIX_RIDES|Fix rides
HUD_STAFF_WAGES|
HUD_STAFF_WAGES|Wages
HUD_STAFF_EMPLOYED|
HUD_STAFF_EMPLOYED|Employed
HUD_STAFF_LAWNS_MOWN|
HUD_STAFF_LAWNS_MOWN|Lawns mown
HUD_STAFF_GARDENS_WATERED|
HUD_STAFF_GARDENS_WATERED|Gardens watered
HUD_STAFF_LITTER_SWEPT|
HUD_STAFF_LITTER_SWEPT|Litter swept
HUD_STAFF_BINS_EMPTIED|
HUD_STAFF_BINS_EMPTIED|Bins emptied
HUD_STAFF_RIDES_INSPECTED|
HUD_STAFF_RIDES_INSPECTED|Rides inspected
HUD_STAFF_RIDES_FIXED|
HUD_STAFF_RIDES_FIXED|Rides fixed



HUD_GUEST_THINKING|
HUD_GUEST_THINKING|Thinking
HUD_GUEST_ALL_GUESTS|ñ  õ  î
HUD_GUEST_ALL_GUESTS|All Guests
HUD_GUEST_GUEST|
HUD_GUEST_GUEST|guest
HUD_GUEST_GUESTS|
HUD_GUEST_GUESTS|guests
HUD_GUEST_GUESTS_C|
HUD_GUEST_GUESTS_C|Guests
HUD_GUEST_ACTIONS|
HUD_GUEST_ACTIONS|Actions
HUD_GUEST_THOUGHTS|
HUD_GUEST_THOUGHTS|Thoughts
HUD_GUEST_ALL_GUESTS_SUMMARIZED|
HUD_GUEST_ALL_GUESTS_SUMMARIZED|All Guests (Summarized)
HUD_GUEST_HAPPINESS|
HUD_GUEST_HAPPINESS|Happiness
HUD_GUEST_ENERGY|
HUD_GUEST_ENERGY|Energy
HUD_GUEST_HUNGER|
HUD_GUEST_HUNGER|Hunger
HUD_GUEST_THIRST|
HUD_GUEST_THIRST|Thirst
HUD_GUEST_NAUSEA|
HUD_GUEST_NAUSEA|Nausea
HUD_GUEST_TOILET|
HUD_GUEST_TOILET|Toilet
HUD_GUEST_TIME_IN_PARK|
HUD_GUEST_TIME_IN_PARK|Time in park
HUD_GUEST_PREFERRED_RIDE_INTENSITY|
HUD_GUEST_PREFERRED_RIDE_INTENSITY|Preferred ride intensity
HUD_GUEST_NAUSEA_TOLERANCE|
HUD_GUEST_NAUSEA_TOLERANCE|Nausea tolerance
HUD_GUEST_LESS_THAN|
HUD_GUEST_LESS_THAN|Less than
HUD_GUEST_MORE_THAN|
HUD_GUEST_MORE_THAN|More than
HUD_GUEST_TO|
HUD_GUEST_TO|to
HUD_GUEST_AND|
HUD_GUEST_AND|and
HUD_GUEST_RIDES_BEEN_ON|
HUD_GUEST_RIDES_BEEN_ON|Rides been on
HUD_GUEST_FAVORITE|
HUD_GUEST_FAVORITE|Favorite
HUD_GUEST_CASH_IN_POCKET|
HUD_GUEST_CASH_IN_POCKET|Cash in pocket
HUD_GUEST_CASH_SPENT|
HUD_GUEST_CASH_SPENT|Cash spent
HUD_GUEST_PAID_TO_ENTER_PARK|
HUD_GUEST_PAID_TO_ENTER_PARK|paid to enter park
HUD_GUEST_SPENT_ON|
HUD_GUEST_SPENT_ON|spent on
HUD_GUEST_ITEMS_OF_FOOD|
HUD_GUEST_ITEMS_OF_FOOD|items of food
HUD_GUEST_DRINKS|
HUD_GUEST_DRINKS|drinks
HUD_GUEST_SOUVENIRS|
HUD_GUEST_SOUVENIRS|souvenirs
HUD_GUEST_RIDES|
HUD_GUEST_RIDES|rides
HUD_GUEST_RECENT_THOUGHTS|
HUD_GUEST_RECENT_THOUGHTS|Recent thoughts
HUD_GUEST_CARRYING|
HUD_GUEST_CARRYING|Carrying
HUD_GUEST_MONITOR|
HUD_GUEST_MONITOR|Monitor guest activities
HUD_GUEST_ACTIVITIES|
HUD_GUEST_ACTIVITIES|Show recent activities on main view



HUD_PARK_PARK_OPEN|Парк открыт
HUD_PARK_PARK_OPEN|Park Open
HUD_PARK_PARK_CLOSED|Парк закрыт
HUD_PARK_PARK_CLOSED|Park Closed
HUD_PARK_GUESTS_IN_PARK|Гостей в парке
HUD_PARK_GUESTS_IN_PARK|Guests in park
HUD_PARK_TOTAL_ADMISSIONS|Всего заработок
HUD_PARK_TOTAL_ADMISSIONS|Total admissions
HUD_PARK_INCOME_FROM_ADMISSIONS|Доход
HUD_PARK_INCOME_FROM_ADMISSIONS|Income from admissions
HUD_PARK_ADMISSION_PRICE|Цена
HUD_PARK_ADMISSION_PRICE|Admission price
HUD_PARK_PARK_SIZE|Размер парка
HUD_PARK_PARK_SIZE|Park size
HUD_PARK_NUMBER_OF_RIDES_ATTRACTIONS|Количество аттракционов
HUD_PARK_NUMBER_OF_RIDES_ATTRACTIONS|Number of rides/attractions
HUD_PARK_STAFF|Зарпата
HUD_PARK_STAFF|Staff
HUD_PARK_SQFT|
HUD_PARK_SQFT|sq.ft.
HUD_PARK_SQMETER|
HUD_PARK_SQMETER|sq.meter.
HUD_PARK_YOUR_OBJECTIVE|Ваша задача
HUD_PARK_YOUR_OBJECTIVE|Your objective
HUD_PARK_YOU_HAVE_FAILED_OBJECTIVE|Вы провалили сценарий
HUD_PARK_YOU_HAVE_FAILED_OBJECTIVE|You have failed your objective!
HUD_PARK_CONGRATULATIONS|Поздравляем!
HUD_PARK_CONGRATULATIONS|Congratulations!
HUD_PARK_YOU_ACHIEVED|Вы прошли сценарий! 
HUD_PARK_YOU_ACHIEVED|You achieved your objective with a company value of
HUD_PARK_NO_RECENT_AWARDS|Нет наград
HUD_PARK_NO_RECENT_AWARDS|No recent awards
HUD_PARK_ENTER_YOUR_NAME|Ваше имя
HUD_PARK_ENTER_YOUR_NAME|Enter your name



HUD_SIGN_SIGN|
HUD_SIGN_SIGN|Sign
HUD_SIGN_BANNER|
HUD_SIGN_BANNER|Banner
HUD_SIGN_BANNER_NOENTRY|
HUD_SIGN_BANNER_NOENTRY|No Entry



HUD_FINANCE_START_THIS_MARKETING_CAMPAIGN|
HUD_FINANCE_START_THIS_MARKETING_CAMPAIGN|START MARKETING CAMPAIGN
HUD_FINANCE_RIDE|
HUD_FINANCE_RIDE|Ride
HUD_FINANCE_TYPE|
HUD_FINANCE_TYPE|Type
HUD_FINANCE_LENGTH_OF_TIME|
HUD_FINANCE_LENGTH_OF_TIME|Length of time
HUD_FINANCE_COST_PER_WEEK|
HUD_FINANCE_COST_PER_WEEK|Cost per week
HUD_FINANCE_TOTAL_COST|
HUD_FINANCE_TOTAL_COST|Total cost
HUD_FINANCE_WEEKS|
HUD_FINANCE_WEEKS|weeks
HUD_FINANCE_FINANCIAL_SUMMARY|
HUD_FINANCE_FINANCIAL_SUMMARY|Financial Summary
HUD_FINANCE_EXPENDITURE_INCOME|
HUD_FINANCE_EXPENDITURE_INCOME|Expenditure/Income
HUD_FINANCE_RIDE_CONSTRUCTION|
HUD_FINANCE_RIDE_CONSTRUCTION|Ride construction
HUD_FINANCE_RIDE_RUNNING_COSTS|
HUD_FINANCE_RIDE_RUNNING_COSTS|Ride running costs
HUD_FINANCE_LAND_PURCHASE|
HUD_FINANCE_LAND_PURCHASE|Land purchase
HUD_FINANCE_LANDSCAPING|
HUD_FINANCE_LANDSCAPING|Landscaping
HUD_FINANCE_PARK_ENTRANCE_TICKETS|
HUD_FINANCE_PARK_ENTRANCE_TICKETS|Park entrance tickets
HUD_FINANCE_RIDE_TICKETS|
HUD_FINANCE_RIDE_TICKETS|Ride tickets
HUD_FINANCE_SHOP_SALES|
HUD_FINANCE_SHOP_SALES|Shop sales
HUD_FINANCE_SHOP_STOCK|
HUD_FINANCE_SHOP_STOCK|Shop stock
HUD_FINANCE_FOOD_DRINK_SALES|
HUD_FINANCE_FOOD_DRINK_SALES|Food/drink sales
HUD_FINANCE_FOOD_DRINK_STOCK|
HUD_FINANCE_FOOD_DRINK_STOCK|Food/drink stock
HUD_FINANCE_STAFF_WAGES|
HUD_FINANCE_STAFF_WAGES|Staff wages
HUD_FINANCE_MARKETING|
HUD_FINANCE_MARKETING|Marketing
HUD_FINANCE_RESEARCH|
HUD_FINANCE_RESEARCH|Research
HUD_FINANCE_LOAN_INTEREST|
HUD_FINANCE_LOAN_INTEREST|Loan interest
HUD_FINANCE_TOTAL|
HUD_FINANCE_TOTAL|Total
HUD_FINANCE_LOAN|
HUD_FINANCE_LOAN|Loan
HUD_FINANCE_CASH|
HUD_FINANCE_CASH|Cash
HUD_FINANCE_COMPANY_VALUE|
HUD_FINANCE_COMPANY_VALUE|Company Value
HUD_FINANCE_LAST_MONTHS_PROFIT_FROM_FOOD|
HUD_FINANCE_LAST_MONTHS_PROFIT_FROM_FOOD|Last month's profit from food/drink and merchandise sales
HUD_FINANCE_FINANCIAL_GRAPH|
HUD_FINANCE_FINANCIAL_GRAPH|Financial Graph
HUD_FINANCE_CASH_LESS_LOAN|
HUD_FINANCE_CASH_LESS_LOAN|Cash (less loan)
HUD_FINANCE_PARK_VALUE_GRAPH|
HUD_FINANCE_PARK_VALUE_GRAPH|Park Value Graph
HUD_FINANCE_PROFIT_GRAPH|
HUD_FINANCE_PROFIT_GRAPH|Profit Graph
HUD_FINANCE_WEEKLY_PROFIT|
HUD_FINANCE_WEEKLY_PROFIT|Weekly profit
HUD_FINANCE_MARKETING_CAMPAIGNS_IN_OPERATION|
HUD_FINANCE_MARKETING_CAMPAIGNS_IN_OPERATION|Marketing campaigns in operation
HUD_FINANCE_WEEKS_REMAINING|
HUD_FINANCE_WEEKS_REMAINING|weeks remaining
HUD_FINANCE_MARKETING_CAMPAIGNS_AVAILABLE|
HUD_FINANCE_MARKETING_CAMPAIGNS_AVAILABLE|Marketing campaigns available
HUD_FINANCE_RESEARCH_FUNDING_C|
HUD_FINANCE_RESEARCH_FUNDING_C|Research Funding
HUD_FINANCE_RESEARCH_FUNDING|
HUD_FINANCE_RESEARCH_FUNDING|Research funding
HUD_FINANCE_RESEARCH_PRIORITIES|
HUD_FINANCE_RESEARCH_PRIORITIES|Research priorities



HUD_MAP_MAP|Карта
HUD_MAP_MAP|Map
HUD_MAP_GUESTSГости
HUD_MAP_GUESTS|Guests
HUD_MAP_ENTRANCE|Вход
HUD_MAP_ENTRANCE|Entrance
HUD_MAP_LAND|Земля
HUD_MAP_LAND|Land
HUD_MAP_AREA_SIZE|Размер парка
HUD_MAP_AREA_SIZE|Area size
HUD_MAP_PLACE_PARK_ENTRANCE|Вход в парк
HUD_MAP_PLACE_PARK_ENTRANCE|PLACE PARK ENTRANCE
HUD_MAP_SELECT_START_POSITION|поменять локацию начала
HUD_MAP_SELECT_START_POSITION|select start location
HUD_MAP_SET_GUEST_START_POSITION|Начало дорожки для гостей
HUD_MAP_SET_GUEST_START_POSITION|SET GUEST START LOCATION
HUD_MAP_UPDATE_OWNERSHIP|
HUD_MAP_UPDATE_OWNERSHIP|UPDATE OWNERSHIP
HUD_MAP_MAP_SIZE|Карта
HUD_MAP_MAP_SIZE|Map size
HUD_MAP_NOT_OWNED_NOT_FOR_SALE|
HUD_MAP_NOT_OWNED_NOT_FOR_SALE|Not Owned / Not For Sale
HUD_MAP_LAND_OWNED|Земля занята парком
HUD_MAP_LAND_OWNED|Land Owned
HUD_MAP_CONSTRUCTION_RIGHTS_OWNED|Место под аттракционы
HUD_MAP_CONSTRUCTION_RIGHTS_OWNED|Construction Rights Owned
HUD_MAP_LAND_FOR_SALE|Для продажи
HUD_MAP_LAND_FOR_SALE|Land For Sale
HUD_MAP_CONSTRUCTION_RIGHTS_FOR_SALE|Продажа мест под аттракционы
HUD_MAP_CONSTRUCTION_RIGHTS_FOR_SALE|Construction Rights For Sale
HUD_MAP_RIDE|Горка
HUD_MAP_RIDE|Ride
HUD_MAP_INFO_KIOSK|Киоск с инф.
HUD_MAP_INFO_KIOSK|Info. Kiosk
HUD_MAP_FOOD_STALL|Ларек с едой
HUD_MAP_FOOD_STALL|Food Stall
HUD_MAP_FIRST_AID|Первое
HUD_MAP_FIRST_AID|First Aid
HUD_MAP_DRINK_STALL|Ларьки с водой
HUD_MAP_DRINK_STALL|Drink Stall
HUD_MAP_ATM|
HUD_MAP_ATM|A.T.M.
HUD_MAP_SOUVENIR_STALL|Ларек с сувенирами
HUD_MAP_SOUVENIR_STALL|Souvenir Stall
HUD_MAP_RESTROOM|Туалет
HUD_MAP_RESTROOM|Restroom



HUD_PAUSE_OPTIONS|
HUD_PAUSE_OPTIONS|Options
HUD_PAUSE_LOAD_SCENARIO|
HUD_PAUSE_LOAD_SCENARIO|Load Scenario
HUD_PAUSE_LOAD_PARK|
HUD_PAUSE_LOAD_PARK|Load Park
HUD_PAUSE_SAVE_PARK|
HUD_PAUSE_SAVE_PARK|Save Park
HUD_PAUSE_QUIT|
HUD_PAUSE_QUIT|Quit
HUD_PAUSE_QUIT_1|
HUD_PAUSE_QUIT_1|QUIT
HUD_PAUSE_LOAD_LANDSCAPE|
HUD_PAUSE_LOAD_LANDSCAPE|Load Landscape
HUD_PAUSE_SAVE_LANDSCAPE|
HUD_PAUSE_SAVE_LANDSCAPE|Save Landscape
HUD_PAUSE_QUIT_GAME_YOUR_CURRENT|
HUD_PAUSE_QUIT_GAME_YOUR_CURRENT|Quit game? All progress since your last save will be lost.
HUD_PAUSE_QUIT_YOUR_CURRENT|
HUD_PAUSE_QUIT_YOUR_CURRENT|Quit? All progress since your last save will be lost.



HUD_LOADSAVE_PLAY_SCENARIO|НАЧАТЬ
HUD_LOADSAVE_PLAY_SCENARIO|START NEW PARK
HUD_LOADSAVE_LOAD_SCENARIO|начать 
HUD_LOADSAVE_LOAD_SCENARIO|Start New Park
HUD_LOADSAVE_SELECT_A_SCENARIO|Выбрать сценарий
HUD_LOADSAVE_SELECT_A_SCENARIO|Select a Park Scenario
HUD_LOADSAVE_OBJECTIVE|Задача
HUD_LOADSAVE_OBJECTIVE|Objective
HUD_LOADSAVE_LOAD_SCENARIO_YOUR_CURRENT_PROGRESS|
HUD_LOADSAVE_LOAD_SCENARIO_YOUR_CURRENT_PROGRESS|Load Park Scenario? All progress since your last save will be lost.

HUD_LOADSAVE_CONVERT_GAME|Сохранить сценарий
HUD_LOADSAVE_CONVERT_GAME|Convert to scenario
HUD_LOADSAVE_CONVERT_GAME_BUTTON|
HUD_LOADSAVE_CONVERT_GAME_BUTTON|CONVERT
HUD_LOADSAVE_LOAD_GAME_BUTTON|
HUD_LOADSAVE_LOAD_GAME_BUTTON|LOAD PARK
HUD_LOADSAVE_LOAD_GAME|
HUD_LOADSAVE_LOAD_GAME|Load Park
HUD_LOADSAVE_SELECT_A_SAVE_GAME|
HUD_LOADSAVE_SELECT_A_SAVE_GAME|Select a Saved Park
HUD_LOADSAVE_RIDES_IN_PARK|
HUD_LOADSAVE_RIDES_IN_PARK|Rides/Attractions in park
HUD_LOADSAVE_LOAD_GAME_YOUR_CURRENT_PROGRESS|
HUD_LOADSAVE_LOAD_GAME_YOUR_CURRENT_PROGRESS|Load Park? All progress since your last save will be lost.
HUD_LOADSAVE_CONVERT_GAME_YOUR_CURRENT_PROGRESS|
HUD_LOADSAVE_CONVERT_GAME_YOUR_CURRENT_PROGRESS|Convert park? All progress since your last save will be lost.

HUD_LOADSAVE_SAVE|
HUD_LOADSAVE_SAVE|SAVE
HUD_LOADSAVE_CANCEL|
HUD_LOADSAVE_CANCEL|CANCEL
HUD_LOADSAVE_SAVE_PARK|
HUD_LOADSAVE_SAVE_PARK|Save Park
HUD_LOADSAVE_PARK_WILL_BE_SAVED_AS|
HUD_LOADSAVE_PARK_WILL_BE_SAVED_AS|Park will be saved as
HUD_LOADSAVE_UNABLE_TO_SAVE_PARK_LIMIT|
HUD_LOADSAVE_UNABLE_TO_SAVE_PARK_LIMIT|Unable to save park!\nPark limit reached
HUD_LOADSAVE_UNABLE_TO_RENAME_PARK_LIMIT|
HUD_LOADSAVE_UNABLE_TO_RENAME_PARK_LIMIT|Unable to rename park!\nPark limit reached

HUD_LOADSAVE_YOUR_CURRENT_PROGRESS|
HUD_LOADSAVE_YOUR_CURRENT_PROGRESS|All progress since your last save will be lost.
HUD_LOADSAVE_UNABLE_TO_SAVE|
HUD_LOADSAVE_UNABLE_TO_SAVE|Unable to save
HUD_LOADSAVE_UNABLE_TO_RENAME|
HUD_LOADSAVE_UNABLE_TO_RENAME|Unable to rename
HUD_LOADSAVE_SAVE_LANDSCAPE_LIMIT|
HUD_LOADSAVE_SAVE_LANDSCAPE_LIMIT|Save landscape limit reached

HUD_LOADSAVE_FILENAME_ALREADY_EXISTS|
HUD_LOADSAVE_FILENAME_ALREADY_EXISTS|That name already exists

HUD_LOADSAVE_REPLACE_EXISTING_FILE|
HUD_LOADSAVE_REPLACE_EXISTING_FILE|Replace existing saved file named

HUD_LOADSAVE_SAVE_RIDE_DESIGN|
HUD_LOADSAVE_SAVE_RIDE_DESIGN|SAVE RIDE DESIGN
HUD_LOADSAVE_RIDE_DESIGN_SAVED_AS|
HUD_LOADSAVE_RIDE_DESIGN_SAVED_AS|Ride Design will be saved as

HUD_LOADSAVE_OTHER_PARK_SCENARIOS|
HUD_LOADSAVE_OTHER_PARK_SCENARIOS|More Park Scenarios
HUD_LOADSAVE_COMPLETED|
HUD_LOADSAVE_COMPLETED|Completed!
HUD_LOADSAVE_COMPLETED_BY|
HUD_LOADSAVE_COMPLETED_BY|Completed by
HUD_LOADSAVE_ON|
HUD_LOADSAVE_ON|On
HUD_LOADSAVE_WITH_COMPANY_VALUE|
HUD_LOADSAVE_WITH_COMPANY_VALUE|with a Company Value of

HUD_LOADSAVE_CANT_SAVE_LANDSCAPE_STAGE|
HUD_LOADSAVE_CANT_SAVE_LANDSCAPE_STAGE|Can't save landscape at this stage
HUD_LOADSAVE_SCENARIO_WILL_BE_SAVED_AS|
HUD_LOADSAVE_SCENARIO_WILL_BE_SAVED_AS|Scenario will be saved as
HUD_LOADSAVE_LANDSCAPE_WILL_BE_SAVED_AS|
HUD_LOADSAVE_LANDSCAPE_WILL_BE_SAVED_AS|Landscape will be saved as
HUD_LOADSAVE_SAVE_SCENARIO|
HUD_LOADSAVE_SAVE_SCENARIO|SAVE SCENARIO
HUD_LOADSAVE_SAVE_LANDSCAPE|
HUD_LOADSAVE_SAVE_LANDSCAPE|SAVE LANDSCAPE
HUD_LOADSAVE_WORKSPACE_WILL_BE_SAVED_AS|
HUD_LOADSAVE_WORKSPACE_WILL_BE_SAVED_AS|Workspace will be saved as

HUD_LOADSAVE_IMPORT_LANDSCAPE_PARK|
HUD_LOADSAVE_IMPORT_LANDSCAPE_PARK|Import Landscape from Saved Park
HUD_LOADSAVE_IMPORT_LANDSCAPE_SCENARIO|
HUD_LOADSAVE_IMPORT_LANDSCAPE_SCENARIO|Import Landscape from Park Scenario
HUD_LOADSAVE_CONVERT_PARK_SCENARIO|
HUD_LOADSAVE_CONVERT_PARK_SCENARIO|Convert Saved Park to Scenario

HUD_LOADSAVE_NO_SAVES|
HUD_LOADSAVE_NO_SAVES|No files of this type available

HUD_LOADSAVE_FILE_SAVED_ON|
HUD_LOADSAVE_FILE_SAVED_ON|File saved on
HUD_LOADSAVE_GAME_DATE|
HUD_LOADSAVE_GAME_DATE|Game Date
HUD_LOADSAVE_PARK_RATING|
HUD_LOADSAVE_PARK_RATING|Park Rating
HUD_LOADSAVE_OBJECTIVE_COMPLETED|
HUD_LOADSAVE_OBJECTIVE_COMPLETED|Objective Completed!
HUD_LOADSAVE_OBJECTIVE_FAILED|
HUD_LOADSAVE_OBJECTIVE_FAILED|Objective Failed!

HUD_LOADSAVE_PREVIEW_UNAVAILABLE|
HUD_LOADSAVE_PREVIEW_UNAVAILABLE|Preview image not available
HUD_LOADSAVE_STATISTICS_UNAVAILABLE|
HUD_LOADSAVE_STATISTICS_UNAVAILABLE|Statistics not available

HUD_LOADSAVE_SELECT_AN_EXISTING|
HUD_LOADSAVE_SELECT_AN_EXISTING|Select an existing



HUD_TIPSHINTS_TIPTITLE|
HUD_TIPSHINTS_TIPTITLE|A useful tip...
HUD_TIPSHINTS_HINTTITLE|
HUD_TIPSHINTS_HINTTITLE|Did you know...
HUD_TIPSHINTS_TIP_1|
HUD_TIPSHINTS_TIP_1|Hold your finger on a button to display help for its function!
HUD_TIPSHINTS_TIP_2|
HUD_TIPSHINTS_TIP_2|To rename the park, a ride, a guest or staff member, just tap the name in the window's title bar!
HUD_TIPSHINTS_TIP_3|
HUD_TIPSHINTS_TIP_3|Hold your finger on the view to display a mini-zoom window with helpful information!
HUD_TIPSHINTS_TIP_4|
HUD_TIPSHINTS_TIP_4|Build a queue line path to a ride's entrance so guests can wait in line!
HUD_TIPSHINTS_TIP_5|
